alt_record_id,applicant_id,record_date,utility_payments_12m,utility_on_time_pct,rental_payments_12m,rental_on_time_pct,telecom_payments_12m,telecom_on_time_pct,mobile_money_txn_count,mobile_money_avg_balance,rent_amount_monthly,months_at_address,alt_score
ALT000001,APP000001,2023-07-08,8,62.4,12,78.5,11,75.1,149,21578.81,32818.0,1,614.0
ALT000002,APP000002,2023-08-08,3,50.5,2,47.7,4,72.4,183,35822.67,29525.0,79,788.0
ALT000003,APP000006,2022-05-08,9,85.8,3,54.1,7,76.7,146,4507.48,13988.0,92,707.0
ALT000004,APP000009,2023-09-02,11,57.0,2,88.7,11,56.8,96,5118.74,14760.0,12,360.0
ALT000005,APP000012,2022-02-19,3,98.6,5,59.2,12,60.9,31,6668.85,46392.0,60,839.0
ALT000006,APP000013,2023-03-15,9,98.3,12,59.5,9,97.3,37,39295.45,8524.0,54,301.0
ALT000007,APP000015,2022-08-28,12,68.9,1,51.6,9,77.6,72,35116.12,9417.0,42,660.0
ALT000008,APP000016,2024-03-22,3,50.5,5,81.3,0,85.0,53,28892.22,23038.0,72,417.0
ALT000009,APP000017,2023-04-30,4,58.7,8,60.3,3,66.5,191,29149.77,26735.0,35,400.0
ALT000010,APP000026,2022-04-30,2,68.5,5,77.6,7,99.1,34,25188.43,13005.0,8,435.0
ALT000011,APP000035,2024-02-06,0,68.7,7,43.5,3,83.6,133,38646.27,49380.0,1,397.0
ALT000012,APP000037,2022-08-11,2,69.9,0,59.6,11,74.7,83,32173.74,45720.0,29,663.0
ALT000013,APP000039,2023-10-11,12,96.9,8,58.2,9,70.0,159,33692.93,17947.0,95,610.0
ALT000014,APP000041,2022-08-23,7,65.4,5,46.8,12,86.9,117,34565.79,20923.0,46,536.0
ALT000015,APP000045,2022-12-21,4,96.8,7,95.6,1,87.7,160,21647.47,33461.0,42,610.0
ALT000016,APP000046,2024-05-21,1,83.0,0,51.3,8,90.9,172,36689.34,7880.0,117,551.0
ALT000017,APP000053,2023-09-09,5,70.5,2,58.6,4,81.9,30,11479.4,15701.0,108,815.0
ALT000018,APP000055,2022-09-18,2,69.3,11,73.5,11,66.9,189,15419.87,22817.0,98,746.0
ALT000019,APP000056,2022-12-25,6,95.5,12,46.1,12,82.6,150,39976.19,24342.0,48,782.0
ALT000020,APP000057,2022-08-30,8,87.8,1,53.0,9,51.8,124,9561.75,18950.0,14,367.0
ALT000021,APP000059,2023-03-12,1,82.9,9,91.4,9,95.6,150,24967.85,14498.0,82,389.0
ALT000022,APP000060,2023-10-04,1,53.0,5,78.0,5,70.5,37,32018.66,45595.0,111,374.0
ALT000023,APP000061,,12,100.0,4,85.9,8,62.4,81,13994.03,17202.0,69,763.0
ALT000024,APP000065,2023-06-19,4,97.9,1,85.7,10,71.3,8,29058.7,32938.0,78,460.0
ALT000025,APP000066,2023-10-29,8,69.1,5,64.0,10,71.6,193,28287.75,25966.0,43,428.0
ALT000026,APP000069,2024-06-08,7,54.6,2,72.0,12,51.7,142,37048.21,43784.0,63,737.0
ALT000027,APP000072,2022-12-27,8,62.1,5,77.3,0,57.8,146,8896.81,9247.0,100,330.0
ALT000028,APP000073,2023-04-24,21,85.2,12,96.4,4,88.3,62,35082.23,39299.0,40,369.0
ALT000029,APP000077,2022-04-18,8,95.0,4,89.2,10,88.7,65,44431.35,25469.0,78,548.0
ALT000030,APP000080,2024-01-08,12,55.9,11,71.3,12,79.6,34,26612.8,9953.0,87,449.0
ALT000031,APP000083,2023-02-08,12,91.4,0,73.4,7,51.4,100,23647.32,14224.0,63,701.0
