application_id,applicant_id,application_date,product_type,loan_purpose,loan_amount,declared_income,employment_type,employer_category,credit_score,debt_to_income,interest_rate,decision,decision_date,loan_tenure_months,city,age
LNA0000001,APP000001,2023-07-08,Auto Loan,Business,57000.0,18433.0,Unemployed,Retail,390,5.0,22.02,Declined,2023-07-17,12,Ahmedabad,26
LNA0000002,APP000002,2023-08-08,Credit Card,Education,83000.0,65119.0,Salaried,Manufacturing,563,2.1,18.02,Declined,2023-08-14,84,Mumbai,45
LNA0000003,APP000002,2024-06-06,Personal Loan,Medical,64000.0,77130.0,Salaried,Manufacturing,563,1.6,20.15,Pending,2024-06-14,240,Mumbai,45
LNA0000004,APP000003,2024-04-29,Business Loan,Business,133000.0,14464.0,Freelancer,Healthcare,510,13.8,20.54,Withdrawn,2024-05-04,24,Pune,50
LNA0000005,APP000004,2023-03-27,Auto Loan,Business,128000.0,48748.0,Salaried,Telecom,468,4.4,22.61,Declined,2023-04-02,36,Bangalore,21
LNA0000006,APP000004,2023-08-08,Credit Card,Vehicle,589000.0,55653.0,Salaried,Telecom,468,20.0,22.18,Withdrawn,2023-08-12,120,Bangalore,21
LNA0000007,APP000004,2024-02-07,Auto Loan,Business,186000.0,52888.0,Salaried,Telecom,468,6.3,21.14,Withdrawn,2024-02-18,12,Bangalore,21
LNA0000008,APP000005,2022-02-27,Personal Loan,Business,-133000.0,78916.0,Salaried,IT Company,409,3.3,21.25,Declined,2022-02-28,12,Hyderabad,34
LNA0000009,APP000006,2022-05-08,Home Loan,Personal,374000.0,49409.0,Self-Employed,Healthcare,798,13.2,13.09,Approved,2022-05-11,24,Pune,65
LNA0000010,APP000006,2023-04-04,Personal Loan,Home Purchase,310000.0,59091.0,Self-Employed,Healthcare,798,11.0,15.51,Approved,2023-04-17,36,Pune,65
LNA0000011,APP000006,2023-09-18,Auto Loan,Education,715000.0,51243.0,Self-Employed,Healthcare,798,25.3,14.58,Withdrawn,2023-09-29,180,Pune,65
LNA0000012,APP000007,2023-07-30,Business Loan,Home Purchase,570000.0,307975.0,Salaried,Retail,663,3.4,18.72,Approved,2023-08-08,84,Pune,38
LNA0000013,APP000007,2023-11-04,Credit Card,Vehicle,132000.0,349470.0,Salaried,Retail,663,0.8,16.62,Declined,2023-11-13,24,Pune,38
LNA0000014,APP000008,2023-11-06,Credit Card,Home Purchase,180000.0,24716.0,Salaried,Education,841,13.6,13.41,Approved,2023-11-16,48,Chennai,61
LNA0000015,APP000008,2023-12-15,Credit Card,Personal,121000.0,25172.0,Salaried,Education,841,9.1,14.7,Approved,2023-12-25,120,Chennai,61
LNA0000016,APP000009,2023-09-02,Personal Loan,Personal,544000.0,89705.0,Salaried,Telecom,349,11.4,24.48,Approved,2023-09-14,12,Delhi,36
LNA0000017,APP000009,2024-03-20,Business Loan,Business,175000.0,74752.0,Salaried,Telecom,349,3.7,22.95,Withdrawn,2024-04-01,24,Delhi,36
LNA0000018,APP000010,2023-04-27,Auto Loan,Education,2453000.0,23583.0,Salaried,PSU Bank,-1,166.2,19.97,Approved,2023-04-29,24,Chennai,53
LNA0000019,APP000011,2024-06-07,Credit Card,Medical,109000.0,40211.0,Salaried,Telecom,736,5.4,16.9,Declined,2024-06-18,36,Kolkata,57
LNA0000020,APP000012,2022-02-19,Personal Loan,Medical,-1430000.0,40217.0,Salaried,Healthcare,356,57.9,24.43,Declined,2022-02-26,36,Pune,41
LNA0000021,APP000013,2023-03-15,Credit Card,Medical,78000.0,58678.0,Unemployed,PSU Bank,383,2.4,22.21,Declined,2023-03-25,120,Pune,62
LNA0000022,APP000014,2023-07-10,Auto Loan,Education,877000.0,37690.0,Business Owner,Healthcare,885,46.6,12.14,Approved,2023-07-18,180,Hyderabad,64
LNA0000023,APP000014,2023-12-11,Personal Loan,Education,390000.0,34908.0,Business Owner,Healthcare,885,20.7,12.1,Withdrawn,2023-12-12,48,Hyderabad,64
LNA0000024,APP000015,2022-08-28,Personal Loan,Vehicle,310000.0,37040.0,Salaried,Healthcare,341,14.3,24.47,Declined,2022-09-07,84,Delhi,65
LNA0000025,APP000015,2023-04-16,Auto Loan,Vehicle,2932000.0,33199.0,Salaried,Healthcare,341,135.7,24.52,Declined,2023-04-18,24,Delhi,65
LNA0000026,APP000016,2024-03-22,Auto Loan,Home Purchase,108000.0,42768.0,Freelancer,Startup,381,5.2,22.15,Declined,2024-03-27,24,Delhi,32
LNA0000027,APP000017,2023-04-30,Credit Card,Medical,3364000.0,31202.0,Salaried,FMCG,367,226.6,22.84,Declined,2023-05-01,36,Delhi,56
LNA0000028,APP000018,2022-12-11,Auto Loan,Debt Consolidation,123000.0,604971.0,Unemployed,Government,704,0.4,15.64,Approved,2022-12-17,84,Bangalore,40
LNA0000029,APP000018,2023-11-23,Auto Loan,Home Purchase,526000.0,614645.0,Unemployed,Government,704,1.8,16.07,Declined,2023-11-27,180,Bangalore,40
LNA0000030,APP000019,2023-08-03,Business Loan,Home Purchase,208000.0,87270.0,Business Owner,IT Company,641,5.0,18.08,Pending,2023-08-05,240,Mumbai,51
LNA0000031,APP000019,2023-11-18,Home Loan,Personal,112000.0,82883.0,Business Owner,IT Company,641,2.7,17.99,Approved,2023-12-02,180,Mumbai,51
LNA0000032,APP000020,2024-01-10,Personal Loan,Debt Consolidation,2238000.0,71330.0,Freelancer,Manufacturing,402,67.2,22.49,Pending,2024-01-19,36,Delhi,60
LNA0000033,APP000021,2023-06-15,Personal Loan,Business,117000.0,66405.0,Salaried,Healthcare,410,3.5,22.47,Declined,2023-06-29,120,Delhi,60
LNA0000034,APP000022,2023-01-11,Credit Card,Education,199000.0,17718.0,Self-Employed,Telecom,510,20.6,21.34,Declined,2023-01-16,120,Chennai,35
LNA0000035,APP000022,2023-08-05,Personal Loan,Personal,3428000.0,16093.0,Self-Employed,Telecom,510,354.8,21.55,Declined,2023-08-15,48,Chennai,35
LNA0000036,APP000023,2024-01-01,Credit Card,Business,975000.0,285883.0,Self-Employed,Manufacturing,822,5.3,14.08,Approved,2024-01-03,84,Mumbai,51
LNA0000037,APP000024,2022-11-22,Home Loan,Home Purchase,168000.0,42763.0,Salaried,Retail,446,8.0,0.0,Withdrawn,2022-11-27,240,Hyderabad,40
LNA0000038,APP000025,2023-10-05,Business Loan,Vehicle,79000.0,66394.0,Salaried,Manufacturing,662,2.4,18.1,Approved,2023-10-16,24,Kolkata,30
LNA0000039,APP000026,2022-04-30,Business Loan,Business,195000.0,87927.0,Self-Employed,Healthcare,339,4.4,24.31,Withdrawn,2022-05-08,60,Kolkata,45
LNA0000040,APP000027,2022-11-01,Business Loan,Personal,56000.0,20754.0,Retired,Government,-1,4.5,15.96,Approved,2022-11-02,240,Hyderabad,53
LNA0000041,APP000028,2024-04-28,Auto Loan,Home Purchase,174000.0,177663.0,Salaried,Healthcare,516,2.0,19.7,Declined,2024-05-10,48,Ahmedabad,42
LNA0000042,APP000029,2024-04-14,Credit Card,Debt Consolidation,187000.0,71485.0,Business Owner,Healthcare,735,5.1,16.4,Declined,2024-04-26,36,Kolkata,58
LNA0000043,APP000030,2023-09-29,Credit Card,Home Purchase,-146000.0,74503.0,Business Owner,Education,597,3.7,17.39,Approved,2023-10-06,12,Mumbai,59
LNA0000044,APP000030,2024-03-11,Personal Loan,Debt Consolidation,141000.0,66317.0,Business Owner,Education,597,3.6,17.27,Approved,2024-03-19,120,Mumbai,59
LNA0000045,APP000031,2023-08-15,Auto Loan,Business,769000.0,45775.0,Salaried,Retail,523,177.74576131851427,21.43,Withdrawn,2023-08-26,84,Bangalore,35
LNA0000046,APP000032,2022-12-01,Home Loan,Medical,2335000.0,34500.0,Business Owner,Manufacturing,591,121.4,19.31,Approved,2022-12-03,48,Pune,59
LNA0000047,APP000033,2023-10-16,Auto Loan,Home Purchase,863000.0,38950.0,Freelancer,Manufacturing,735,46.6,16.41,Declined,2023-10-30,240,Pune,57
LNA0000048,APP000034,2023-01-15,Personal Loan,Medical,694000.0,48182.0,Self-Employed,Government,701,22.2,15.42,Pending,2023-01-24,48,Delhi,32
LNA0000049,APP000035,2024-02-06,Business Loan,Personal,980000.0,41975.0,Self-Employed,Startup,555,44.8,19.04,Declined,2024-02-16,240,Chennai,42
LNA0000050,APP000036,2024-06-10,Home Loan,Personal,4766000.0,38362.0,Self-Employed,Government,458,193.5,22.59,Declined,2024-06-12,84,Delhi,41
LNA0000051,APP000037,2022-08-11,Business Loan,Education,112000.0,191447.0,Self-Employed,Government,343,1.2,24.95,Approved,2022-08-14,180,Hyderabad,46
LNA0000052,APP000038,2022-12-26,Auto Loan,Medical,263000.0,36696.0,Business Owner,IT Company,479,12.6,21.04,Declined,2023-01-02,36,Ahmedabad,58
LNA0000053,APP000039,2023-10-11,Home Loan,Medical,167000.0,116847.0,Salaried,FMCG,353,2.8,23.38,Withdrawn,2023-10-17,180,Hyderabad,31
LNA0000054,APP000040,2023-05-08,Auto Loan,Business,254000.0,98979.0,Business Owner,Retail,621,4.7,16.87,Approved,2023-05-12,240,Mumbai,35
LNA0000055,APP000041,2022-08-23,Home Loan,Education,2708000.0,66221.0,Salaried,PSU Bank,386,83.1,22.67,Declined,2022-08-30,240,Hyderabad,33
LNA0000056,APP000042,2023-05-21,Credit Card,Medical,3696000.0,22342.0,Self-Employed,IT Company,687,159.07172303495645,17.15,Withdrawn,2023-05-22,60,Delhi,55
LNA0000057,APP000043,2023-12-23,Business Loan,Personal,103000.0,22905.0,Retired,Healthcare,688,7.2,15.78,Approved,2024-01-03,180,Delhi,22
LNA0000058,APP000044,2023-03-14,Home Loan,Medical,4789000.0,83379.0,Salaried,Government,504,108.8,20.09,Declined,2023-03-16,36,Chennai,46
LNA0000059,APP000045,2022-12-21,Personal Loan,Debt Consolidation,279000.0,20882.0,Salaried,FMCG,736,27.2,16.7,Declined,2023-01-02,180,Bangalore,41
LNA0000060,APP000046,2024-05-21,Auto Loan,Education,188000.0,39362.0,Freelancer,Retail,306,9.5,25.86,Approved,2024-05-28,120,Mumbai,51
LNA0000061,APP000047,2023-06-13,Credit Card,Business,871000.0,21595.0,Salaried,Education,540,62.4,18.82,Declined,2023-06-20,24,Mumbai,50
LNA0000062,APP000048,2023-12-12,Credit Card,Debt Consolidation,778000.0,45466.0,Business Owner,Telecom,862,34.3,12.52,Approved,2023-12-23,36,Delhi,27
LNA0000063,APP000049,2024-06-23,Home Loan,Home Purchase,154000.0,33894.0,Salaried,Healthcare,507,8.4,19.76,Declined,2024-07-06,180,Chennai,41
LNA0000064,APP000050,2024-05-06,Home Loan,Medical,587000.0,35767.0,Freelancer,Education,884,28.8,13.74,Withdrawn,2024-05-15,48,Hyderabad,51
