bureau_record_id,applicant_id,bureau_name,pull_date,credit_score,total_accounts,active_accounts,payment_history_pct,credit_utilisation_pct,derogatory_marks,hard_inquiries_6m,oldest_account_yrs,total_credit_limit,outstanding_balance,missed_payments_12m
BUR0000001,APP000003,Experian,2024-04-29,510,7,6,74.6,66.2,0,0,9.3,1990000.0,87300.0,2
BUR0000002,APP000004,Experian,2023-03-27,468,5,0,94.8,78.8,2,8,13.6,149000.0,57000.0,0
BUR0000003,APP000005,Equifax,2022-02-27,409,12,3,91.2,27.5,0,6,9.3,415000.0,495000.0,5
BUR0000004,APP000007,CIBIL,2023-07-30,663,7,1,95.5,86.2,0,6,13.5,1662000.0,451900.0,0
BUR0000005,APP000008,CIBIL,2023-11-06,841,8,2,76.5,110.1,0,5,6.5,996000.0,242600.0,2
BUR0000006,APP000008,Experian,2024-02-29,851,19,7,74.3,67.5,2,6,4.0,820000.0,103700.0,1
BUR0000007,APP000010,Experian,2023-04-27,510,17,8,97.8,26.7,1,4,14.8,638000.0,456100.0,2
BUR0000008,APP000010,CIBIL,2023-08-21,490,3,6,90.8,43.0,1,5,11.7,884000.0,25800.0,1
BUR0000009,APP000010,Experian,2024-02-25,478,12,6,71.3,46.9,1,4,11.2,615000.0,308700.0,0
BUR0000010,APP000011,CIBIL,2024-06-07,736,15,3,61.1,10.2,2,2,1.7,1063000.0,398900.0,2
BUR0000011,APP000014,CIBIL,2023-07-10,885,13,2,62.9,87.9,1,3,18.9,1186000.0,280400.0,1
BUR0000012,APP000014,CIBIL,2024-01-20,900,8,4,78.8,47.1,1,6,4.1,90000.0,388000.0,2
BUR0000013,APP000018,CRIF,2022-12-11,704,11,8,72.6,40.4,0,0,1.2,1545000.0,371400.0,0
BUR0000014,APP000018,Experian,2023-02-22,714,20,3,68.1,27.9,0,0,9.1,1541000.0,332600.0,0
BUR0000015,APP000019,CIBIL,2023-08-03,641,4,2,92.9,85.6,0,5,8.4,247000.0,176400.0,0
BUR0000016,APP000019,Equifax,2024-04-24,654,4,4,94.6,25.0,2,5,11.8,687000.0,188300.0,0
BUR0000017,APP000020,CRIF,2024-01-10,402,10,9,83.2,18.4,4,6,17.7,506000.0,88700.0,1
BUR0000018,APP000021,Experian,2023-06-15,410,19,2,88.4,6.4,0,4,4.4,1693000.0,102100.0,0
BUR0000019,APP000021,Experian,2023-12-13,394,7,5,65.2,19.0,0,6,17.1,1888000.0,69100.0,0
BUR0000020,APP000022,Experian,2023-01-11,510,2,4,97.9,63.2,0,4,17.3,1339000.0,191700.0,0
BUR0000021,APP000023,CRIF,2024-01-01,822,9,10,98.7,74.9,2,5,9.6,595000.0,159100.0,1
BUR0000022,APP000024,Experian,2022-11-22,446,15,3,74.2,84.8,0,1,7.2,1713000.0,489600.0,0
BUR0000023,APP000025,Equifax,2023-10-05,662,15,5,76.7,80.7,0,4,12.7,1132000.0,254200.0,0
BUR0000024,APP000025,Experian,2024-06-21,644,8,2,71.2,31.1,0,8,15.6,1387000.0,283000.0,2
BUR0000025,APP000027,CRIF,2022-11-01,658,3,8,66.3,5.9,0,2,8.1,1701000.0,483000.0,0
BUR0000026,APP000028,Equifax,2024-04-28,516,11,2,97.9,58.1,2,2,4.1,216000.0,104900.0,3
BUR0000027,APP000029,Equifax,2024-04-14,735,9,3,61.8,21.1,-2,1,13.2,568000.0,164700.0,0
BUR0000028,APP000030,Experian,2023-09-29,597,6,0,98.9,93.2,1,3,16.9,549000.0,213100.0,0
BUR0000029,APP000031,CRIF,2023-08-15,523,19,2,90.9,26.8,0,2,15.1,1745000.0,1700.0,0
BUR0000030,APP000031,CIBIL,2024-02-09,549,12,0,75.1,60.0,0,0,17.9,672000.0,327000.0,5
BUR0000031,APP000032,CIBIL,2022-12-01,591,18,9,82.3,58.2,0,0,7.8,342000.0,38800.0,2
BUR0000032,APP000033,Experian,2023-10-16,735,16,4,73.5,25.0,2,7,2.1,1913000.0,238800.0,0
BUR0000033,APP000034,CIBIL,2023-01-15,701,5,9,61.8,28.3,2,4,15.2,1032000.0,291500.0,0
BUR0000034,APP000034,CIBIL,2023-08-28,687,9,9,82.3,72.4,0,5,2.1,1318000.0,72600.0,0
BUR0000035,APP000036,Equifax,2024-06-10,458,19,6,68.3,83.8,2,8,11.3,188000.0,333800.0,3
BUR0000036,APP000038,CRIF,2022-12-26,479,11,6,87.6,91.8,0,8,12.3,1431000.0,464700.0,0
BUR0000037,APP000040,CIBIL,2023-05-08,621,17,7,92.7,53.8,0,2,2.0,204000.0,458700.0,2
BUR0000038,APP000040,CRIF,2023-08-09,635,17,5,81.7,0.3,0,8,7.3,1696000.0,343800.0,0
BUR0000039,APP000042,CIBIL,2023-05-21,687,2,9,99.2,88.0,0,2,10.6,1302000.0,133800.0,0
BUR0000040,APP000042,Equifax,2023-07-27,715,12,1,97.4,21.7,2,8,18.6,413000.0,152300.0,2
BUR0000041,APP000043,Equifax,2023-12-23,688,1,1,98.2,90.7,1,1,16.3,724000.0,496000.0,0
BUR0000042,APP000044,CRIF,2023-03-14,504,11,9,68.2,74.1,0,5,12.9,1708000.0,129700.0,3
BUR0000043,APP000044,Experian,2023-07-29,489,19,3,96.5,20.3,0,6,13.9,420000.0,207300.0,3
BUR0000044,APP000047,CIBIL,2023-06-13,540,4,5,98.4,78.8,1,6,6.8,1145000.0,319100.0,0
BUR0000045,APP000047,Experian,2024-04-21,530,4,6,93.2,67.5,0,5,0.9,1223000.0,374800.0,0
BUR0000046,APP000048,Equifax,2023-12-12,862,1,9,73.5,1.7,1,3,7.8,1376000.0,303900.0,0
BUR0000047,APP000048,CRIF,2024-04-28,844,18,6,65.8,54.4,2,2,17.9,1730000.0,345000.0,0
BUR0000048,APP000049,Experian,2024-06-23,507,11,7,83.2,14.1,2,0,17.3,148000.0,308700.0,3
BUR0000049,APP000050,CRIF,2024-05-06,884,8,7,97.8,25.8,0,7,5.5,1533000.0,289300.0,0
BUR0000050,APP000051,Equifax,2023-09-03,567,9,1,95.8,69.2,0,6,7.2,589000.0,444100.0,0
BUR0000051,APP000052,Equifax,2023-07-20,424,19,5,93.7,38.0,0,7,3.2,1483000.0,94100.0,0
BUR0000052,APP000052,CRIF,2023-12-18,435,14,8,67.8,30.1,0,8,15.2,192000.0,21300.0,5
BUR0000053,APP000052,Experian,2024-06-20,420,13,2,89.8,85.5,2,1,8.4,1324000.0,433400.0,0
BUR0000054,APP000054,CRIF,2023-08-08,873,14,6,77.1,221.7,1,4,18.1,1604000.0,184400.0,0
BUR0000055,APP000058,CIBIL,2022-07-26,670,20,3,90.4,10.4,0,2,0.7,970000.0,193400.0,1
BUR0000056,APP000058,Equifax,2023-05-28,657,17,5,84.5,13.9,1,1,5.0,1981000.0,215900.0,0
BUR0000057,APP000058,CRIF,2023-10-31,639,7,4,73.0,57.2,1,0,0.5,1562000.0,283300.0,0
BUR0000058,APP000062,Experian,2024-06-27,837,14,7,68.5,22.0,0,4,19.3,707000.0,43100.0,0
BUR0000059,APP000063,CRIF,2022-11-15,812,8,2,94.6,16.0,1,5,17.4,1103000.0,216700.0,0
BUR0000060,APP000063,CIBIL,2023-09-02,838,17,2,81.0,93.5,1,7,12.4,216000.0,165000.0,1
BUR0000061,APP000064,CIBIL,2022-07-05,673,3,3,70.3,41.1,0,6,17.9,446000.0,28600.0,0
BUR0000062,APP000067,CRIF,2022-11-22,795,13,3,98.6,55.6,2,6,16.7,641000.0,271900.0,0
BUR0000063,APP000067,CRIF,2023-08-27,775,2,7,62.9,6.4,1,6,2.0,272000.0,171300.0,0
BUR0000064,APP000068,Experian,2022-09-16,836,3,7,82.5,60.6,0,2,5.1,161000.0,189247.983270352,3
BUR0000065,APP000070,CIBIL,2022-03-13,720,5,7,61.2,35.3,1,7,17.7,711000.0,106800.0,3
BUR0000066,APP000071,CRIF,2023-05-28,626,11,7,88.1,71.4,0,6,18.1,1690000.0,492400.0,0
BUR0000067,APP000074,CIBIL,2023-11-10,520,18,6,74.5,92.9,0,7,1.2,989000.0,301700.0,1
BUR0000068,APP000075,Experian,,868,5,9,86.7,41.3,0,8,10.3,586000.0,432700.0,1
BUR0000069,APP000076,CRIF,2024-06-05,499,10,1,78.0,36.3,0,7,14.3,339000.0,238800.0,0
BUR0000070,APP000078,Equifax,2022-09-22,480,11,7,76.7,94.8,1,6,10.3,803000.0,439100.0,1
BUR0000071,APP000078,CIBIL,2023-09-15,450,5,3,66.3,32.0,1,5,16.5,1498000.0,84800.0,0
BUR0000072,APP000078,CIBIL,2024-03-03,462,13,10,62.0,29.9,3,3,6.2,1911000.0,167100.0,4
BUR0000073,APP000079,CIBIL,2022-04-05,554,18,10,94.1,85.7,0,4,18.3,875000.0,402700.0,4
BUR0000074,APP000081,CIBIL,2023-08-13,755,11,3,97.0,43.5,0,4,4.5,241000.0,211400.0,2
BUR0000075,APP000081,CIBIL,2024-05-29,778,6,9,82.5,84.2,1,1,8.0,781000.0,33600.0,0
BUR0000076,APP000082,Equifax,2022-12-09,809,15,10,71.7,94.6,0,8,1.4,1494000.0,75300.0,0
BUR0000077,APP000084,Equifax,2023-09-23,676,17,6,70.2,37.5,2,7,13.5,110000.0,425000.0,3
BUR0000078,APP000085,Experian,2022-09-27,713,18,9,67.2,29.0,1,0,2.0,333000.0,77500.0,3
BUR0000079,APP000085,Equifax,2023-03-08,742,18,10,88.5,90.0,0,1,15.4,806000.0,108600.0,1
BUR0000080,APP000086,Experian,2023-10-14,833,5,1,71.2,10.5,0,4,5.8,1675000.0,285200.0,0
BUR0000081,APP000087,CRIF,2024-05-13,547,2,4,80.5,27.6,0,2,16.9,1063000.0,237900.0,3
BUR0000082,APP000091,CIBIL,2023-08-27,490,16,5,91.5,158.8,0,1,7.4,1758000.0,400800.0,0
BUR0000083,APP000091,CRIF,2023-11-27,462,1,4,72.2,22.1,0,0,15.7,266000.0,200700.0,5
BUR0000084,APP000091,Equifax,2024-06-20,441,6,2,78.3,79.6,4,0,3.2,1346000.0,184900.0,1
BUR0000085,APP000092,CRIF,2023-11-30,872,1,3,72.0,81.2,1,1,15.8,1949000.0,7300.0,0
BUR0000086,APP000093,Experian,2024-05-30,-300,13,7,94.2,51.1,2,2,13.9,874000.0,196300.0,0
BUR0000087,APP000094,CRIF,2023-12-09,0,3,5,76.8,64.9,0,3,12.0,948000.0,348900.0,2
BUR0000088,APP000096,CRIF,2022-02-25,664,17,2,95.6,5.8,1,2,13.9,1750000.0,175000.0,0
BUR0000089,APP000096,CRIF,2022-07-04,649,7,1,63.4,34.2,1,3,9.9,933000.0,467100.0,0
BUR0000090,APP000097,CRIF,2023-03-18,533,3,2,67.2,25.0,2,0,6.1,1459000.0,140300.0,0
BUR0000091,APP000097,Experian,2023-10-15,515,18,4,92.1,50.1,0,4,1.0,1718000.0,225600.0,1
