verification_id,applicant_id,verification_date,declared_income,verified_income,income_variance_pct,employment_type,employer_category,employment_tenure_yrs,form16_available,itr_filed,gst_filed,verification_source,verification_status
VER000001,APP010293,2023-08-01,35363.0,30079.0,5.2,Salaried,Manufacturing,19.4,1,1,0,Payslip,Verified
VER000002,APP010290,2022-02-09,77730.0,78117.0,2.7,Business Owner,PSU Bank,8.1,0,1,1,Payslip,Verified
VER000003,APP005979,2022-08-04,20515.0,20339.0,-10.7,Unemployed,Telecom,13.4,0,0,0,Bank Statement,Verified
VER000004,APP014783,2024-01-27,22456.0,23930.0,7.1,Salaried,Government,21.3,1,1,0,ITR,Verified
VER000005,APP008720,2023-03-24,22487.0,19475.0,6.8,Self-Employed,PSU Bank,-1.2,0,1,1,ITR,Unverified
VER000006,APP014065,2022-07-19,73826.0,54689.0,-14.3,Salaried,Education,3.8,1,0,0,Payslip,Verified
VER000007,APP008763,2023-06-25,65173.0,74691.0,5.8,Self-Employed,Telecom,10.7,0,0,1,ITR,Verified
VER000008,APP013098,2023-08-25,28150.0,23859.0,-3.8,Freelancer,Healthcare,6.2,0,1,0,Payslip,Verified
VER000009,APP006646,2022-06-19,377156.0,367311.0,8.2,Self-Employed,Government,21.4,0,1,0,Payslip,Verified
VER000010,APP013874,2023-02-03,24236.0,20275.0,-11.2,Salaried,Education,23.5,0,1,0,Bank Statement,Verified
VER000011,APP003718,2022-08-07,69427.0,55836.0,-0.7,Business Owner,Education,17.8,0,1,1,ITR,Verified
VER000012,APP006203,2023-02-03,41140.0,36963.0,8.7,Salaried,FMCG,2.4,1,1,0,Bank Statement,Verified
VER000013,APP004005,2022-06-03,28258.0,30993.0,186.2,Self-Employed,Healthcare,22.4,0,1,0,Payslip,Unverified
VER000014,APP005996,2024-04-20,286745.0,210359.0,-6.0,Self-Employed,PSU Bank,15.6,0,1,0,ITR,Verified
VER000015,APP011862,2022-12-25,219612.0,185429.0,166.5,Self-Employed,Healthcare,18.3,0,1,1,Bank Statement,Failed
VER000016,APP008596,2022-02-10,27588.0,25821.0,0.0,Salaried,Startup,4.8,1,1,0,Payslip,Unverified
VER000017,APP012147,2023-01-01,27509.0,23073.0,-14.3,Retired,Retail,14.4,0,1,0,Bank Statement,Verified
VER000018,APP006657,2023-06-15,63490.0,72214.0,4.7,Business Owner,Telecom,23.3,0,1,1,Bank Statement,Verified
VER000019,APP007223,2023-12-06,24412.0,25702.0,0.6,Salaried,Healthcare,16.6,0,1,0,ITR,Unverified
